Title:,Back 4 Blood Card Compendium & Codex,,,On Desktop? Check out Filter Views,Note: Versus and Campaign Cards to be separately listed even if they have the same effects,,,
Compendium Ver:,12-1-23,Created by:,Controls:,Use CTRL+F to search cards,Notice any mistakes or have info to possibly add? Leave a comment. ,,,
Game Version:,1.000.011 (06/12/22),Spikeyroxas,PC/PS/XB,,,Obtained from:,,
Deck Category,Type,Card Affinity,Team Effect,Name (Original Name/Other Info),Effect Description (Other info),Suppy Line,Damage Type,Copper Cost
Campaign,Offense,Fortune,No,Admin Reload (Gunslinger),"When you stow your weapon, it reloads.",The Stilts (2),-,N/A
Swarm,Offense ,Fortune ,No,Admin Reload (Gunslinger),"When you stow your weapon, it reloads.",Available from start,-,500
Campaign,Offense,Reflex,No,Adrenaline Fueled,"When you kill an enemy, gain 5 Stamina instantly and an additional 7 Stamina over 7 seconds, stacking up to 5 times.",Accomplishment,-,N/A
Swarm,Offense,Reflex,No,Adrenaline Fueled,"When you kill an enemy, gain 5 Stamina instantly and an additional 7 Stamina over 7 seconds, stacking up to 5 times.",Available from start,-,
Campaign,Ability,Fortune ,No,AI Assistant Module,"5% Item Reuse Chance that increases by 10% after every item used. Resets on Reuse. Gadget Cost: 20 Sniper Rifle Ammo. REPLACES: Quick Slot, FRAGILE (Effects removed after recieving damage)",Duffel Bag Reward / Children of the Worm Expansion,Flat,0
Campaign,Offense,Discipline ,No,Ammo,"+5% Ammo Capacity, +1% Damage",Available when decks empty / Free Card Shrine,Flat,0
Swarm,Offense,Discipline ,No,Ammo,"+5% Ammo Capacity, +1% Damage",Available when decks empty / Free Card Shrine,-,500
Campaign,Offense ,Discipline,No,Ammo Belt,"+50% Ammo Capacity, +15% Reload Speed",Paul's Alley,-,N/A
Burn,Offense,Burn,Yes,Ammo Drop,Team Effects: Each Cleaner restores and increases their maximum ammo by 25%.,Roving Merchants,Flat,500
Campaign,Offense ,Discipline ,Yes,Ammo For All (Team Ammo),"Team Effects: +10% Team Ammo Capacity, +3.5% Team Damage",Paul's Alley / Bot Deck,Flat,N/A
Swarm,Offense ,Discipline ,Yes,Ammo For All (Team Ammo),"Team Effects: +10% Team Ammo Capacity, +3.5% Team Damage",Available from start,-,500
Campaign,Offense ,Discipline ,No,Ammo Mule,"+75% Ammo Capacity, -5% Move Speed",The Stilts,-,500
Swarm,Offense ,Discipline ,No,Ammo Mule,"+75% Ammo Capacity, -5% Move Speed",Available from start,Bullet,500
Campaign,Offense ,Discipline,No,Ammo Pouch,"+25% Ammo Capacity, +2.5% Bullet Damage",The Strip,Bullet,N/A
Swarm,Offense ,Discipline ,No,Ammo Pouch,"+25% Ammo Capacity, +2.5% Bullet Damage",Available from start,-,N/A
Campaign,Utility,Discipline ,No,Ammo Scavenger,"You can sense Nearby Ammo, 1 additional Ammo crate spawn.",Accomplishment,-,500
Campaign,Offense,Fortune,No,Ammo Stash (Resourceful),Your secondary weapons have Unlimited Ammo. Your secondary weapons reload 20% Slower,Bridge Town (2),-,N/A
Swarm,Offense,Fortune,No,Ammo Stash (Resourceful),Your secondary weapons have Unlimited Ammo. Your secondary weapons reload 20% Slower,Available from start,-,500
Campaign,Defense,Discipline ,Yes,Amped Up,"Team Effects: When a horde is triggered, your team recovers 20 Health.",The Furnace (2) / Bot Deck,-,500
Campaign,Defense,Discipline,No,Antibiotic Ointment,"+25% Healing Efficiency, When you use a medical Accessory, the target heals 20 Temporary Health.",Starter Deck,-,N/A
Swarm,Defense ,Discipline ,No,Antibiotic Ointment,"+25% Healing Efficiency, When you use a medical Accessory, the target heals 20 Temporary Health.",Available from start,-,N/A
Corruption,Ridden,Mutation,-,Armored Bruisers,Bruisers can take a lot of punishment. Keep moving and don't let them get close. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Crushers,Getting crushed is the worst way to die. Attack the Crusher to free your teammates. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Exploders,Stay away from these two-legged death bombs. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Ferocious Rippers,"This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar. Armored (Weakspots are covered by durable Armor.) Ferocious (+25% Health, +50% Damage), Destruction (Hurls spiked balls in 3 wide lines. Find the gap between lines.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Ferocious Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status. Armored (Weakspots are covered by durable Armor.) Ferocious (+25% Health, +50% Damage), Viscous (Cleaners hit by Shredder Implosions are slower by 30%.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Ferocious Urchins,"This subterranean Warped Ridden hurls Urchin Mines that damage and slow Cleaners. Damage the Mines to clear them! Armored (Weakspots are covered by durable Armor.) Ferocious (+25% Health, +50% Damage), Paralytic (Cleaners hit by the Urchin Mine are slowed even further.)",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Hockers,Melee teammates to free them from Hocker pins. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Ridden,-,Armored Joggers,"SWAT armor was meant to protect against bullets, not devil worms. These Ridden are going to be harder to take down.",N/A,,
Corruption,Ridden,Mutation,-,Armored Lobbers,The Lobber hurls sticky bombs that damage and burn any Cleaners caught in its large blast radius. Mind your ammo and give these explosives a wide berth! Armored (Weakspots are covered by durable Armor.) Sear (Ammo on Cleaners caught in the blast radius catches fire and becomes useless. Cleaners lose 10% of their total ammo.),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Retches,Acidic spew leaves dangerous bile pools. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Ridden,-,Armored Ridden,"SWAT armor was meant to protect against bullets, not devil worms. These Ridden are going to be harder to take down.",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Rippers,This Warped Ridden flings spiked cysts in a line from his massive arm to attack from afar. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Ridden,-,Armored Runners,"SWAT armor was meant to protect against bullets, not devil worms. These Ridden are going to be harder to take down.",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Shredders,"This subterranean Warped Ridden launches adhesive tendrils that pull Cleaners toward it, applying the Pus Covered status. Armored (Weakspots are covered by durable Armor.)",N/A,-,N/A
Corruption,Ridden,Ridden,-,Armored Sprinters,"SWAT armor was meant to protect against bullets, not devil worms. These Ridden are going to be harder to take down.",N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Stalkers,A grabbed teammate is a dead teammate. Quickly kill the Stalker to free teammates. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Stingers,Stinger spit toxic spittle from long distancs or high vantage points. Armored (Weakspots are covered by durable Armor.),N/A,,
Corruption,Ridden,Mutation,-,Armored Swarmers,Lurking Swarmers send out Clouds of insects from behind cover to track down Cleaners. Burn these pests and hunt down the Swarmer before you're consumed. Armored (Weakspots are covered by durable Armor.) Pesky (The Swarm Cloud applies a stacking 10% Use Speed Debuff) Culling (Swarm Clouds seek out Cleaners with the lowest amount of Health),N/A,-,N/A
Corruption,Ridden,Mutation,-,Armored Tallboys,These towering mutations can take alot of punishment and surge into powerful slam attacks. Aim for the weakspot or use fire to take them out quickly. Armored (Weakspots are covered by durable Armor.),N/A,-,N/A
